Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency,Source_File
SKE,808,0,0,2%,2,2,2,1,0,5,6,2,13,13,13,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,299,-1,-0%,104,35%,370,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SMP,21983,0,0,4%,5,5,5,1,0,10,12,0,22,21,20,0,0,0,0,0,1,2,144,21,23,1150,0,0,79,52930,0%,4792,278,5%,1702,35%,218,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SPP,31134,0,0,4%,7,17,7,1,0,3,11,7,21,30,30,0,65,65000,0,0,0,0,0,0,75,3750,0,0,9,6030,25%,7710,331,4%,885,11%,247,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SRV,385,0,0,4%,1,1,1,1,0,5,7,5,17,17,17,0,44,44000,0,0,0,0,0,0,-14,-700,0,0,9,6030,0%,345,103,29%,21,6%,894,14%,19%,generate_country_csv_report_1732-01-01-01.csv
TNV,288,0,0,4%,1,1,1,1,0,8,6,2,16,16,11,0,0,0,0,0,0,0,0,0,5,250,-2,-5,11,7370,0%,112,13,12%,36,32%,390,14%,19%,generate_country_csv_report_1732-01-01-01.csv
UMB,2095,0,0,2%,4,4,4,1,0,7,10,4,21,16,16,0,0,0,0,0,0,0,0,0,11,550,0,0,0,0,0%,1251,1,0%,217,17%,597,14%,19%,generate_country_csv_report_1732-01-01-01.csv
USV,114,0,0,3%,1,1,1,0,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,30,0,-2%,9,32%,266,14%,19%,generate_country_csv_report_1732-01-01-01.csv
WEA,231,0,0,5%,1,1,1,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,79,-1,-1%,30,38%,342,14%,19%,generate_country_csv_report_1732-01-01-01.csv
HHE,261699,0,0,7%,174,98,174,1,0,117,133,41,291,357,357,0,154,154000,93,46,78,156,156,23,531,26550,169,422,349,233830,15%,85625,18682,21%,18533,21%,371,14%,19%,generate_country_csv_report_1732-01-01-01.csv
AVE,141,0,0,2%,2,7,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,26,1300,0,0,20,13400,25%,39,25,63%,12,31%,279,14%,19%,generate_country_csv_report_1732-01-01-01.csv
ANA,646,0,0,5%,2,2,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,72,0,-0%,64,88%,112,14%,19%,generate_country_csv_report_1732-01-01-01.csv
BIU,193,0,0,3%,2,7,2,1,0,6,6,2,14,13,13,0,0,0,0,0,0,0,0,0,46,2300,0,0,45,30150,25%,130,65,49%,24,18%,674,14%,19%,generate_country_csv_report_1732-01-01-01.csv
CPV,13296,0,0,8%,6,6,7,0,0,9,8,0,17,19,14,0,0,0,0,0,0,0,19,2,40,2000,48,120,16,10720,0%,1825,57,3%,925,50%,206,14%,19%,generate_country_csv_report_1732-01-01-01.csv
CYR,4079,0,0,6%,5,12,5,1,0,1,10,10,21,27,26,0,0,0,32,16,0,0,0,0,31,1550,119,297,0,0,-5%,4602,85,1%,316,6%,1128,14%,19%,generate_country_csv_report_1732-01-01-01.csv
ERP,739,0,0,2%,2,2,2,1,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-500,0,0,8,5360,0%,248,8,3%,85,34%,335,14%,19%,generate_country_csv_report_1732-01-01-01.csv
FIK,1822,0,0,5%,3,3,3,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,3,150,0,0,0,0,0%,686,0,0%,227,33%,376,14%,19%,generate_country_csv_report_1732-01-01-01.csv
GSD,5887,0,0,4%,4,4,4,1,0,7,5,0,12,14,14,0,0,0,7,3,0,0,21,3,52,2600,43,107,0,0,25%,1380,32,2%,160,11%,234,14%,19%,generate_country_csv_report_1732-01-01-01.csv
HPV,380,0,0,5%,2,5,2,1,1,6,3,0,9,11,9,0,28,21000,0,0,0,0,0,0,-8,-400,0,0,9,6030,0%,77,40,53%,32,42%,202,14%,19%,generate_country_csv_report_1732-01-01-01.csv
IHS,2376,0,0,4%,3,3,3,1,0,3,3,1,7,11,11,0,10,7000,0,0,0,0,0,0,3,150,0,0,0,0,0%,575,11,1%,258,44%,242,14%,19%,generate_country_csv_report_1732-01-01-01.csv
KGK,8044,0,0,4%,10,13,10,1,0,9,11,0,20,26,26,0,0,0,0,0,0,0,0,0,-11,-550,17,42,0,0,0%,1830,10,0%,857,46%,284,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LEE,2406,0,0,2%,6,8,6,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,8,5360,0%,669,9,1%,195,29%,278,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LRO,428,0,0,4%,4,5,4,1,0,2,4,0,6,8,8,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,0%,49,0,-1%,44,89%,115,14%,19%,generate_country_csv_report_1732-01-01-01.csv
MRC,34210,0,0,4%,20,20,20,1,0,51,101,37,189,126,126,0,142,163300,120,60,16,32,97,14,517,25850,22,55,172,115240,75%,31533,6617,20%,2187,6%,921,14%,19%,generate_country_csv_report_1732-01-01-01.csv
NMR,1265,0,0,4%,2,3,2,1,0,2,1,0,3,7,7,0,0,0,0,0,0,0,16,2,-8,-400,0,0,9,6030,0%,174,10,5%,142,81%,138,14%,19%,generate_country_csv_report_1732-01-01-01.csv
PCS,1872,0,0,4%,3,4,3,1,0,4,7,2,13,14,12,0,0,0,0,0,0,0,42,6,-14,-700,0,0,9,6030,0%,762,24,3%,222,29%,407,14%,19%,generate_country_csv_report_1732-01-01-01.csv
RVV,7002,0,0,7%,10,10,9,0,0,7,16,4,27,18,18,0,22,26400,16,8,0,0,9,1,11,550,26,65,50,33500,75%,3672,255,6%,1174,31%,320,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SEK,6001,0,0,4%,11,11,11,1,0,4,5,4,13,16,16,0,0,0,0,0,0,0,0,0,10,500,0,0,11,7370,0%,2138,14,0%,501,23%,356,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SRA,22723,0,0,10%,37,19,37,1,1,13,46,6,65,71,66,0,12,8400,0,0,0,0,0,0,13,650,-8,-20,9,6030,0%,7072,96,1%,2083,29%,390,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SSD,5982,0,0,4%,6,6,6,1,0,12,9,0,21,20,20,0,0,0,7,3,0,0,50,7,104,5200,78,195,9,6030,25%,1964,105,5%,426,21%,328,14%,19%,generate_country_csv_report_1732-01-01-01.csv
UFS,14346,0,0,2%,18,28,18,1,0,7,18,10,35,38,37,0,0,0,0,0,0,0,0,0,28,1400,-2,-5,0,0,0%,6232,3,0%,693,11%,434,14%,19%,generate_country_csv_report_1732-01-01-01.csv
WIE,510,0,0,2%,3,4,3,1,0,3,5,0,8,11,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,8,5360,0%,81,8,10%,60,74%,160,14%,19%,generate_country_csv_report_1732-01-01-01.csv
BAR,80067,0,0,4%,22,22,22,1,0,29,83,18,130,89,89,0,143,164450,30,15,32,64,35,5,195,9750,346,865,1200,804000,75%,42530,19501,45%,7674,18%,531,14%,19%,generate_country_csv_report_1732-01-01-01.csv
FFN,23922,0,0,2%,14,14,14,1,0,11,11,2,24,24,23,0,145,123250,0,0,29,58,0,0,137,6850,-2,-5,9,6030,0%,4757,394,8%,1872,39%,198,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LLA,11704,0,0,3%,7,7,7,1,0,11,7,8,26,26,26,0,117,117000,19,9,0,0,0,0,36,1800,0,0,9,6030,0%,5597,282,5%,456,8%,478,14%,19%,generate_country_csv_report_1732-01-01-01.csv
DRC,203797,0,0,4%,35,91,43,0,0,18,14,16,48,59,45,0,0,0,8,4,0,0,192,28,121,6050,8,20,17,11390,0%,19464,286,1%,9868,50%,101,14%,19%,generate_country_csv_report_1732-01-01-01.csv
DVE,6586,0,0,5%,9,15,9,1,0,8,5,0,13,13,13,0,0,0,0,0,0,0,0,0,18,900,0,0,9,6030,0%,1432,13,0%,393,27%,217,14%,19%,generate_country_csv_report_1732-01-01-01.csv
DVC,12543,0,0,1%,2,5,2,0,0,4,5,0,9,7,6,0,0,0,0,0,0,0,0,0,53,2650,118,295,9,6030,25%,1892,76,4%,876,46%,150,14%,19%,generate_country_csv_report_1732-01-01-01.csv
EPC,29252,0,0,4%,22,91,17,1,0,0,3,6,9,22,22,0,0,0,9,4,23,46,0,0,7,350,-4,-10,0,0,0%,4922,0,0%,1896,38%,159,14%,19%,generate_country_csv_report_1732-01-01-01.csv
EPY,57495,0,0,3%,38,38,38,1,1,20,25,37,82,82,82,0,23,33350,94,47,399,798,0,0,58,2900,174,435,345,231150,0%,24894,2039,8%,4214,16%,432,14%,19%,generate_country_csv_report_1732-01-01-01.csv
FDL,6535,0,0,1%,4,4,3,0,0,3,2,0,5,5,4,0,0,0,0,0,0,0,34,5,10,500,0,0,13,8710,0%,998,20,2%,565,56%,150,14%,19%,generate_country_csv_report_1732-01-01-01.csv
FUL,1128,0,0,4%,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,89,0,0%,89,100%,79,14%,19%,generate_country_csv_report_1732-01-01-01.csv
GNG,4475,0,0,4%,2,2,2,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16750,25%,510,18,3%,436,85%,114,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LCF,9169,0,0,5%,4,4,4,0,0,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,11,550,0,0,13,8710,25%,1043,11,1%,853,81%,113,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LCS,4000,0,0,5%,5,5,6,0,0,3,3,2,8,7,6,0,0,0,0,0,52,104,0,0,5,250,0,0,7,4690,25%,1359,9,0%,390,28%,340,14%,19%,generate_country_csv_report_1732-01-01-01.csv
LMC,16980,0,0,7%,6,6,4,0,0,3,3,0,6,8,7,0,0,0,0,0,6,12,13,1,16,800,0,0,42,28140,25%,2658,57,2%,1784,67%,98,14%,19%,generate_country_csv_report_1732-01-01-01.csv
MYU,1127,0,0,4%,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,89,0,0%,89,100%,78,14%,19%,generate_country_csv_report_1732-01-01-01.csv
NRS,5906,0,0,4%,6,6,6,1,1,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-700,30,75,0,0,0%,2319,14,0%,729,31%,392,14%,19%,generate_country_csv_report_1732-01-01-01.csv
NWE,6651,0,0,2%,4,4,4,1,0,3,7,3,13,13,13,0,0,0,0,0,61,122,0,0,-14,-700,0,0,9,6030,0%,2643,14,0%,701,26%,397,14%,19%,generate_country_csv_report_1732-01-01-01.csv
ODS,2408,0,0,4%,3,3,3,1,0,1,3,0,4,14,14,0,0,0,0,0,0,0,0,0,-18,-900,35,87,9,6030,0%,617,21,3%,293,47%,256,14%,19%,generate_country_csv_report_1732-01-01-01.csv
RDN,4352,0,0,2%,7,7,7,1,0,6,12,2,20,20,20,0,0,0,7,3,0,0,0,0,2,100,171,427,0,0,0%,1921,124,6%,381,19%,441,14%,19%,generate_country_csv_report_1732-01-01-01.csv
ROM,7844,0,0,4%,4,25,4,1,0,9,14,11,34,32,30,0,0,0,0,0,0,0,0,0,51,2550,21,52,25,16750,25%,5458,82,1%,658,12%,695,14%,19%,generate_country_csv_report_1732-01-01-01.csv
RPG,19428,0,0,2%,5,5,5,0,0,3,4,5,12,11,10,0,0,0,0,0,24,48,29,4,27,1350,0,0,29,19430,25%,3658,46,1%,1200,32%,188,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SHE,1129,0,0,7%,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,89,0,0%,89,100%,79,14%,19%,generate_country_csv_report_1732-01-01-01.csv
SSJ,2224,0,0,7%,2,2,2,0,0,2,1,2,5,5,4,0,0,0,0,0,23,46,0,0,6,300,0,0,2,1340,25%,719,2,0%,143,19%,323,14%,19%,generate_country_csv_report_1732-01-01-01.csv
WYK,5809,0,0,2%,5,7,5,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,0,0,-12,-600,0,0,8,5360,0%,2185,9,0%,728,33%,376,14%,19%,generate_country_csv_report_1732-01-01-01.csv
XIN,2299,0,0,5%,2,2,2,1,0,1,1,0,2,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,8,5360,0%,513,6,1%,302,58%,223,14%,19%,generate_country_csv_report_1732-01-01-01.csv
ABL,2869,0,0,2%,7,7,7,1,0,3,7,2,12,12,12,0,0,0,0,0,0,0,20,3,-14,-700,35,87,9,6030,0%,1111,36,3%,288,25%,387,16%,21%,generate_country_csv_report_1733-01-01-01.csv
DOO,990,0,0,5%,7,7,7,1,0,2,5,0,7,8,8,0,6,4200,0,0,0,0,0,0,-10,-500,0,0,0,0,0%,107,6,6%,85,79%,108,16%,21%,generate_country_csv_report_1733-01-01-01.csv
DTP,1002,0,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,8,5360,0%,364,8,2%,122,33%,363,16%,21%,generate_country_csv_report_1733-01-01-01.csv
FDN,1122,0,0,3%,6,7,6,1,0,4,8,4,16,16,16,0,4,2200,0,0,0,0,0,0,-16,-800,0,0,9,6030,0%,582,16,2%,101,17%,519,16%,21%,generate_country_csv_report_1733-01-01-01.csv
HYP,354,0,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,17,8,0,0,0,0,-8,-400,0,0,0,0,0%,44,0,1%,40,91%,125,16%,21%,generate_country_csv_report_1733-01-01-01.csv
INH,1729,0,0,4%,3,6,3,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,577,0,-0%,216,37%,333,16%,21%,generate_country_csv_report_1733-01-01-01.csv
KST,299,0,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,8,5360,0%,91,8,9%,22,24%,304,16%,21%,generate_country_csv_report_1733-01-01-01.csv
LLD,6901,0,0,2%,6,6,6,1,0,5,6,2,13,13,13,0,0,0,23,11,0,0,0,0,18,900,0,0,0,0,0%,1929,4,0%,612,31%,279,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MLB,78,0,0,4%,1,1,1,1,0,3,6,0,9,9,9,0,0,0,0,0,0,0,0,0,-12,-600,0,0,10,6700,0%,19,11,60%,7,36%,249,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MTR,1854,0,0,4%,5,8,5,1,0,4,7,3,14,14,14,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,891,-1,-0%,192,21%,480,16%,21%,generate_country_csv_report_1733-01-01-01.csv
NLL,268,0,0,4%,2,16,2,1,0,8,6,0,14,14,10,0,0,0,7,3,0,0,0,0,7,350,-2,-5,14,9380,0%,42,18,43%,21,50%,159,16%,21%,generate_country_csv_report_1733-01-01-01.csv
OAK,94539,0,0,6%,66,66,66,1,1,121,424,37,582,473,473,0,186,269700,417,208,21,42,281,42,1417,70850,451,1127,681,456270,50%,174079,95089,54%,4813,2%,1841,16%,21%,generate_country_csv_report_1733-01-01-01.csv
PLK,379,0,0,5%,2,4,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,9,1,-8,-400,11,27,0,0,0%,51,6,11%,41,80%,136,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SHT,694,0,0,3%,4,7,4,1,0,5,9,0,14,14,14,0,10,5500,0,0,0,0,0,0,-18,-900,0,0,10,6700,0%,94,26,28%,57,60%,136,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TAM,15329,0,0,2%,24,24,24,0,0,10,27,2,39,39,39,0,0,0,0,0,0,0,109,16,1,50,0,0,0,0,0%,6496,115,1%,401,6%,423,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TPD,601,0,0,5%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,13,1,-8,-400,22,55,16,10720,0%,102,27,26%,64,62%,170,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TPP,15590,0,0,4%,28,28,28,1,0,10,7,2,19,19,17,0,0,0,64,32,0,0,0,0,31,1550,0,0,0,0,0%,2927,10,0%,1463,49%,187,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TRH,4378,0,0,10%,4,29,1,0,0,5,2,0,7,7,7,0,0,0,0,0,0,0,0,0,29,1450,5,12,0,0,0%,1115,4,0%,465,41%,155,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TRI,3033,0,0,2%,5,7,5,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,58,8,-12,-600,74,185,0,0,0%,1471,53,3%,357,24%,485,16%,21%,generate_country_csv_report_1733-01-01-01.csv
UEK,17279,0,0,-0%,19,21,22,0,0,6,10,5,21,28,21,0,0,0,0,0,0,0,16,2,-10,-500,39,97,35,23450,0%,3839,101,2%,1170,30%,265,16%,21%,generate_country_csv_report_1733-01-01-01.csv
WGK,488,0,0,5%,4,4,4,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-700,79,197,0,0,0%,200,39,19%,52,26%,410,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AAV,117,0,0,4%,1,1,1,1,0,3,5,2,10,10,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,-5%,39,0,-2%,14,37%,335,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AGC,6275,0,0,2%,6,6,6,1,0,10,13,7,30,23,22,0,0,0,63,31,0,0,0,0,99,4950,0,0,10,6700,25%,4335,47,1%,351,8%,690,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AHM,1347,0,0,4%,7,7,7,1,0,10,9,0,19,20,20,0,0,0,0,0,0,0,0,0,-20,-1000,0,0,0,0,0%,218,-2,-1%,138,63%,162,16%,21%,generate_country_csv_report_1733-01-01-01.csv
ARN,4458,0,0,2%,8,14,8,1,0,7,9,4,20,20,20,0,0,0,0,0,0,0,77,11,8,400,0,0,20,13400,0%,2501,63,2%,341,13%,561,16%,21%,generate_country_csv_report_1733-01-01-01.csv
ATL,7283,0,0,2%,4,4,4,1,0,8,7,5,20,20,19,0,118,118000,0,0,159,318,0,0,-14,-700,0,0,9,6030,0%,4138,308,7%,237,5%,568,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AUC,5380,0,0,2%,15,15,15,1,0,12,14,14,40,35,35,0,24,24000,24,12,0,0,0,0,107,5350,0,0,0,0,0%,6174,96,1%,481,7%,1147,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AUF,1518,0,0,2%,5,5,5,1,0,1,6,3,10,16,15,0,0,0,36,18,0,0,0,0,-16,-800,0,0,91,60970,0%,887,123,13%,162,18%,584,16%,21%,generate_country_csv_report_1733-01-01-01.csv
BTR,20212,0,0,5%,25,25,25,1,0,18,12,5,35,35,35,0,32,36800,0,0,0,0,52,7,45,2250,0,0,81,54270,-5%,5106,305,5%,1924,37%,252,16%,21%,generate_country_csv_report_1733-01-01-01.csv
CUL,164,0,0,4%,1,3,1,1,0,4,6,0,10,10,10,0,0,0,0,0,0,0,0,0,-12,-600,0,0,8,5360,0%,16,9,57%,6,37%,99,16%,21%,generate_country_csv_report_1733-01-01-01.csv
ETV,390,0,0,4%,1,1,1,1,0,3,6,2,11,11,11,0,63,72450,0,0,0,0,0,0,-12,-600,0,0,10,6700,0%,306,153,50%,51,16%,785,16%,21%,generate_country_csv_report_1733-01-01-01.csv
FLU,329,0,0,4%,2,2,2,1,0,4,7,0,11,11,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,8,5360,0%,42,9,23%,28,68%,127,16%,21%,generate_country_csv_report_1733-01-01-01.csv
FRO,562,0,0,2%,3,3,3,1,0,1,6,0,7,13,13,0,0,0,0,0,0,0,0,0,-16,-800,0,0,8,5360,0%,84,8,10%,64,75%,150,16%,21%,generate_country_csv_report_1733-01-01-01.csv
JIN,666,0,0,5%,1,1,1,1,0,5,5,0,10,10,10,0,0,0,0,0,0,0,7,1,4,200,0,0,9,6030,0%,126,13,10%,87,69%,190,16%,21%,generate_country_csv_report_1733-01-01-01.csv
KHM,7608,0,0,5%,13,13,13,1,0,11,12,2,25,29,29,0,0,0,0,0,0,0,0,0,25,1250,0,0,82,54940,0%,3596,195,5%,703,19%,472,16%,21%,generate_country_csv_report_1733-01-01-01.csv
KKV,583,0,0,5%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,210,0,-0%,74,35%,361,16%,21%,generate_country_csv_report_1733-01-01-01.csv
KSA,5515,0,0,4%,10,10,10,1,0,7,7,9,23,25,25,0,40,40000,13,6,44,88,0,0,29,1450,0,0,0,0,0%,4070,91,2%,578,14%,738,16%,21%,generate_country_csv_report_1733-01-01-01.csv
LNV,395,0,0,4%,1,1,1,1,0,3,5,2,10,10,9,0,0,0,0,0,0,0,0,0,-10,-500,0,0,8,5360,-5%,151,8,5%,50,33%,383,16%,21%,generate_country_csv_report_1733-01-01-01.csv
LOC,117,0,0,2%,1,1,1,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-400,0,0,8,5360,0%,23,8,34%,14,59%,203,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MES,943,0,0,4%,1,1,1,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,0,0,72,48240,0%,470,93,19%,124,26%,498,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MJU,45780,0,0,3%,27,30,27,1,0,33,76,14,123,99,98,0,122,140300,106,53,32,64,106,15,480,24000,16,40,169,113230,25%,22653,4313,19%,2922,12%,494,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MNG,3332,0,0,4%,7,7,7,1,0,6,7,3,16,16,16,0,8,4400,0,0,0,0,0,0,25,1250,0,0,0,0,0%,1363,11,0%,249,18%,409,16%,21%,generate_country_csv_report_1733-01-01-01.csv
MRV,175,0,0,2%,1,1,1,1,0,3,7,2,12,12,11,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,58,-1,-2%,22,37%,335,16%,21%,generate_country_csv_report_1733-01-01-01.csv
OOD,8432,0,0,4%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,22,44,0,0,-8,-400,0,0,0,0,0%,2371,0,0%,729,30%,281,16%,21%,generate_country_csv_report_1733-01-01-01.csv
PER,281,0,0,5%,1,1,1,1,0,4,6,0,10,10,10,0,0,0,0,0,0,0,0,0,-4,-200,0,0,8,5360,0%,49,10,20%,35,71%,176,16%,21%,generate_country_csv_report_1733-01-01-01.csv
QDT,2721,0,0,2%,15,16,15,1,0,11,16,10,37,35,35,0,63,72450,9,4,0,0,0,0,115,5750,0,0,10,6700,25%,3423,300,8%,206,6%,1258,16%,21%,generate_country_csv_report_1733-01-01-01.csv
QUE,3603,0,0,5%,12,12,12,1,0,5,11,5,21,25,25,0,0,0,0,0,0,0,0,0,-26,-1300,0,0,8,5360,0%,2560,11,0%,353,13%,710,16%,21%,generate_country_csv_report_1733-01-01-01.csv
RIV,792,0,0,2%,2,2,2,1,0,3,5,2,10,10,10,0,81,105300,0,0,96,192,0,0,-10,-500,0,0,10,6700,0%,511,208,40%,100,19%,645,16%,21%,generate_country_csv_report_1733-01-01-01.csv
RJV,231,0,0,4%,1,1,1,1,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,-5%,79,0,-1%,29,37%,340,16%,21%,generate_country_csv_report_1733-01-01-01.csv
RNV,391,0,0,2%,1,1,1,1,0,3,6,2,11,11,10,0,37,37000,0,0,0,0,0,0,-12,-600,0,0,9,6030,0%,227,83,36%,49,21%,580,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SDP,31098,0,0,4%,7,28,7,1,0,21,25,17,63,35,34,0,67,77050,62,31,0,0,0,0,110,5500,0,0,77,51590,50%,10980,768,6%,1647,15%,353,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SKE,822,0,0,4%,2,2,2,1,0,7,6,2,15,15,13,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,309,-1,-0%,107,34%,375,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SMP,22431,0,0,4%,5,5,5,1,0,11,11,0,22,21,20,0,0,0,0,0,2,4,154,23,28,1400,0,0,84,56280,0%,4953,294,5%,1744,35%,220,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SPP,31722,0,0,4%,7,17,7,1,0,3,10,8,21,31,31,0,72,82800,0,0,0,0,0,0,78,3900,0,0,9,6030,25%,8355,406,4%,905,10%,263,16%,21%,generate_country_csv_report_1733-01-01-01.csv
SRV,393,0,0,4%,1,1,1,1,0,5,7,5,17,17,17,0,49,56350,0,0,0,0,0,0,-14,-700,0,0,9,6030,0%,389,129,33%,22,5%,989,16%,21%,generate_country_csv_report_1733-01-01-01.csv
TNV,293,0,0,4%,1,1,1,1,0,8,6,2,16,16,11,0,0,0,0,0,0,0,0,0,5,250,-2,-5,11,7370,0%,117,13,11%,37,31%,399,16%,21%,generate_country_csv_report_1733-01-01-01.csv
UMB,2136,0,0,2%,4,4,4,1,0,8,10,5,23,17,17,0,0,0,0,0,0,0,0,0,11,550,0,0,0,0,0%,1543,1,0%,222,14%,722,16%,21%,generate_country_csv_report_1733-01-01-01.csv
USV,117,0,0,3%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,0%,32,0,-2%,10,31%,276,16%,21%,generate_country_csv_report_1733-01-01-01.csv
WEA,235,0,0,5%,1,1,1,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,0%,85,-1,-1%,33,39%,362,16%,21%,generate_country_csv_report_1733-01-01-01.csv
HHE,276074,0,0,7%,186,119,186,1,0,125,150,44,319,391,391,0,166,190900,181,90,108,216,219,32,609,30450,237,592,398,266660,15%,96892,24523,25%,19949,20%,398,16%,21%,generate_country_csv_report_1733-01-01-01.csv
AVE,144,0,0,2%,2,7,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,26,1300,0,0,20,13400,25%,40,25,61%,12,31%,283,16%,21%,generate_country_csv_report_1733-01-01-01.csv
BIU,196,0,0,3%,2,7,2,1,0,6,6,2,14,14,14,0,0,0,0,0,0,0,0,0,44,2200,0,0,45,30150,25%,134,65,48%,25,18%,686,16%,21%,generate_country_csv_report_1733-01-01-01.csv
CYR,4148,0,0,5%,5,12,5,1,1,1,10,12,23,29,28,0,0,0,34,17,0,0,0,0,35,1750,127,317,0,0,-5%,5493,92,1%,323,5%,1324,16%,21%,generate_country_csv_report_1733-01-01-01.csv
